city,year,gap_to_gdp,re_invest_dependence
兰州,2006,0.0469716666405626,0.084326593262017
兰州,2007,0.0500436705060319,0.1016021616900485
兰州,2008,0.0576641300751524,0.1092191709599659
兰州,2009,0.0678077753779697,0.1069978401727861
兰州,2010,0.0674027626317702,0.1074881861141403
兰州,2011,0.0654323801680845,0.1138504297699315
兰州,2012,0.0632241974677068,0.1341220104872746
兰州,2013,0.0663408922016799,0.1449321052987141
兰州,2014,0.0638549881555668,0.1584655212050336
兰州,2015,0.0757684912618858,0.1529396609716649
兰州,2016,0.092163781947947,0.1727518847466909
兰州,2017,0.077335806050231,0.1657433605173684
兰州,2018,0.0776892284499476,0.2104766295637665
兰州,2019,0.078755727881565,0.1941029256256609
兰州,2020,0.0828229996536196,0.1918150329061309
兰州,2021,0.0643272501075421,0.186538503198413
兰州,2022,0.0830925676686107,0.1454912516823687
兰州,2023,0.0710037281330656,0.1151534270146257
兰州,2024,0.0790246509452869,0.0794468568374641
南京,2006,0.0057755121170388,0.1266034076242528
南京,2007,0.0038827796438805,0.1358120186495235
南京,2008,0.0047973509933774,0.1346145695364238
南京,2009,0.0063262411347517,0.140822695035461
南京,2010,0.0045568830763833,0.1458572904282067
南京,2011,0.0050784962053658,0.1418529270102448
南京,2012,0.0050877582759386,0.1349644523439235
南京,2013,0.002446397679417,0.1295230273422385
南京,2014,0.0020077657795538,0.1275957259870192
南京,2015,0.0026273638816678,0.147006872912331
南京,2016,0.0029743826061456,0.1757208878970048
南京,2017,0.0070148782340739,0.1852489522069807
南京,2018,0.0048906430376587,0.1836268759165081
南京,2019,0.0055619699237402,0.1782666951749697
南京,2020,0.0078904035632338,0.1775813200161965
南京,2021,0.005393127904133,0.1662876008804108
南京,2022,0.0159973030278835,0.1631650387246161
南京,2023,0.0125549624016991,0.1586797543194994
南京,2024,0.0059046063388575,0.1184072481150825
广州,2006,0.0131235151461269,0.0916703299236231
广州,2007,0.0140522535651087,0.0989987593505861
广州,2008,0.0111382673914472,0.0929353369474988
广州,2009,0.0095502298095863,0.0894440796673232
广州,2010,0.0097382841937794,0.0915177283849539
广州,2011,0.0162410733259065,0.1050884457122986
广州,2012,0.0178028514079933,0.1011312651278115
广州,2013,0.0158448626277063,0.101972485334115
广州,2014,0.0115593166164577,0.1087067775112872
广州,2015,0.0208973166906164,0.1180962199198802
广州,2016,0.0281423040561833,0.1299837728111711
广州,2017,0.0301941808525727,0.1256973978231096
广州,2018,0.0381445666652813,0.1181980240033071
广州,2019,0.0493584155063692,0.1312903635363324
广州,2020,0.0491570406491066,0.1316579399656261
广州,2021,0.0402706576976385,0.1284515391593289
广州,2022,0.0404781719199694,0.1190020458407018
广州,2023,0.0338183555145605,0.1090871656344709
广州,2024,0.0266739708370256,0.0988006122613389
成都,2006,0.0238031180012216,0.2231028765888136
成都,2007,0.0209586152332762,0.2723326424340512
成都,2008,0.0388978182461375,0.2367373410339426
成都,2009,0.0474372640461914,0.2098911836553408
成都,2010,0.0451137571379676,0.2302775926359591
成都,2011,0.0258484108435527,0.2317020152948831
成都,2012,0.0249358021354237,0.2321235056334394
成都,2013,0.0288959467070082,0.2317790641889407
成都,2014,0.0313058402500251,0.2203062867234321
成都,2015,0.02877283551026,0.2254618948335179
成都,2016,0.034549881144399,0.2168315635776809
成都,2017,0.0346401101848245,0.1794643249271566
成都,2018,0.0269351622946834,0.148158383394915
成都,2019,0.0307993887027567,0.1535126080056427
成都,2020,0.0360726985381272,0.1607292430998476
成都,2021,0.027115556675761,0.1577739195400106
成都,2022,0.034229854689564,0.157162003122373
成都,2023,0.0297970554926387,0.110966704416761
成都,2024,0.0281094144357573,0.1027325537378984
杭州,2006,-0.0075286720073456,0.1286208670031468
杭州,2007,-0.0136335810466395,0.1265289000212186
杭州,2008,-0.0074626241330555,0.1287156254967413
杭州,2009,-0.0059728773584905,0.1384984276729559
杭州,2010,-0.0092045989376722,0.1607274927721374
