city,year,income,expend,gdp,gap,gap_to_gdp,income_growth,expend_growth
乌鲁木齐,2017,400.78,458.58,2743.82,57.80000000000001,0.02106552179078803,0.08415613925933929,0.09823737905929675
乌鲁木齐,2018,458.28,659.79,3099.77,201.51,0.06500804898427948,0.14347023304556106,0.4387674996729032
乌鲁木齐,2019,472.46,620.28,3413.0,147.82,0.04331087020216818,0.030941782316487698,-0.05988268994680124
乌鲁木齐,2020,392.64,536.87,3337.0,144.23000000000002,0.043221456397962245,-0.1689455191973923,-0.13447152898690906
乌鲁木齐,2021,377.93,419.59,3691.57,41.65999999999997,0.011285171349859265,-0.03746434392828035,-0.21845139419226256
乌鲁木齐,2022,314.82,455.77,3893.22,140.95,0.0362039648414423,-0.16698859577170377,0.08622703114945551
乌鲁木齐,2023,369.79,504.05,4168.0,134.26,0.03221209213051823,0.17460771234356143,0.10593062290190236
乌鲁木齐,2024,371.3,465.52,4502.16,94.21999999999997,0.020927732466193998,0.00408339868574048,-0.07644082928280926
乌鲁木齐,2025,,,,,,0.0,0.0
兰州,2006,33.14,63.13,638.47,29.990000000000002,0.0469716666405626,,
兰州,2007,46.63,83.3,732.76,36.669999999999995,0.05004367050603198,0.4070609535304768,0.3194994455884681
兰州,2008,50.86,99.66,846.28,48.8,0.05766413007515243,0.0907141325327041,0.1963985594237696
兰州,2009,57.04,119.83,926.0,62.79,0.06780777537796977,0.1215100275265435,0.2023881196066626
兰州,2010,72.76,146.93,1100.4,74.17,0.06740276263177027,0.2755960729312763,0.22615371776683646
兰州,2011,86.49,175.48,1360.03,88.99,0.06543238016808453,0.18870258383727312,0.19431021574899598
兰州,2012,103.73,202.6,1563.8,98.86999999999999,0.06322419746770687,0.19932940224303408,0.1545475267836791
兰州,2013,124.5,242.34,1776.28,117.84,0.06634089220167992,0.20023136990263168,0.19615004935834168
兰州,2014,152.33,280.1,2000.94,127.77000000000001,0.06385498815556688,0.22353413654618493,0.15581414541553196
兰州,2015,185.19,344.0,2095.99,158.81,0.0757684912618858,0.21571587999737396,0.2281328097108175
兰州,2016,215.48,424.16,2264.23,208.68000000000004,0.092163781947947,0.16356174739456764,0.23302325581395356
兰州,2017,234.2,429.36,2523.54,195.16000000000003,0.07733580605023103,0.0868758121403379,0.012259524707657565
兰州,2018,253.32,465.64,2732.94,212.32,0.07768922844994768,0.08163962425277549,0.08449785727594561
兰州,2019,233.23,456.66,2837.0,223.43000000000004,0.07875572788156504,-0.07930680562134851,-0.019285284769349653
兰州,2020,247.13,486.24,2887.0,239.11,0.08282299965361968,0.05959782189255236,0.06477466824333189
兰州,2021,276.73,484.59,3231.29,207.85999999999996,0.06432725010754217,0.11977501719742656,-0.0033933859822310453
兰州,2022,220.98,498.8,3343.5,277.82000000000005,0.08309256766861076,-0.20145990676833025,0.029323758228605667
兰州,2023,255.33,502.92,3487.0,247.59,0.07100372813306567,0.15544393157751846,0.008259823576583836
兰州,2024,251.91,547.64,3742.25,295.73,0.07902465094528693,-0.013394430736693774,0.08892070309393141
兰州,2025,,,,,,0.0,0.0
北京,2006,1117.15,1296.84,8618.9,179.68999999999983,0.020848368121221948,,
北京,2007,1492.64,1649.5,10730.4,156.8599999999999,0.01461828077238499,0.3361142192185471,0.27193794145769723
北京,2008,1837.32,1959.29,12167.6,121.97000000000003,0.0100241625299977,0.23091971272376455,0.18780842679599874
北京,2009,2026.81,2319.37,13335.7,292.55999999999995,0.021938105986187447,0.10313391243768089,0.1837808593929433
北京,2010,2353.93,2717.32,15420.2,363.3900000000003,0.023565842206975288,0.1613964801831449,0.1715767643799826
北京,2011,3006.28,3245.23,17653.3,238.94999999999982,0.01353571286954846,0.2771322851571629,0.1942759778016574
北京,2012,3314.93,3685.31,19568.3,370.3800000000001,0.0189275511924899,0.10266841411977579,0.13560826197218678
北京,2013,3661.11,4173.66,21746.0,512.5499999999997,0.023569851926791122,0.10443056112798765,0.1325125973120307
北京,2014,4027.16,4524.67,23577.5,497.5100000000002,0.021101049729615108,0.09998333838644546,0.08410124447127942
北京,2015,4723.86,5737.7,26034.1,1013.8400000000001,0.03894277121160325,0.17300032777441166,0.26809247967255057
北京,2016,5081.26,6406.77,28438.7,1325.5100000000002,0.04660937384620254,0.07565846574623314,0.11660944280809393
北京,2017,5430.79,6824.53,31325.9,1393.7399999999998,0.04449161875636453,0.06878805650566977,0.06520602425247035
北京,2018,5785.92,7471.43,35161.4,1685.5100000000002,0.04793637340947744,0.06539195954916321,0.09479041047515357
北京,2019,5817.1,7408.19,37767.0,1591.0899999999992,0.04212910742182326,0.005388944195564349,-0.008464243123471715
北京,2020,5483.89,7116.18,38503.6,1632.29,0.042393178819642836,-0.05728111945814929,-0.03941718557434393
北京,2021,5932.31,7205.12,44350.7,1272.8099999999995,0.028698757855005662,0.08177042209088814,0.012498278570806098
